feature,region,lat,type,0,1,2,id
LH_MIDDLETEMPORAL_GVOL,lh-middletemporal,L,V,LH,MIDDLETEMPORAL,GVOL,32.0
LH_MIDDLETEMPORAL_SAREA,lh-middletemporal,L,A,LH,MIDDLETEMPORAL,SAREA,32.0
LH_MIDDLETEMPORAL_AVGTH,lh-middletemporal,L,T,LH,MIDDLETEMPORAL,AVGTH,32.0
LH_PARACENTRAL_GVOL,lh-paracentral,L,V,LH,PARACENTRAL,GVOL,34.0
LH_PARACENTRAL_SAREA,lh-paracentral,L,A,LH,PARACENTRAL,SAREA,34.0
LH_PARACENTRAL_AVGTH,lh-paracentral,L,T,LH,PARACENTRAL,AVGTH,34.0
LH_PARAHIPPOCAMPAL_GVOL,lh-parahippocampal,L,V,LH,PARAHIPPOCAMPUSCAMPAL,GVOL,33.0
LH_PARAHIPPOCAMPAL_SAREA,lh-parahippocampal,L,A,LH,PARAHIPPOCAMPUSCAMPAL,SAREA,33.0
LH_PARAHIPPOCAMPAL_AVGTH,lh-parahippocampal,L,T,LH,PARAHIPPOCAMPUSCAMPAL,AVGTH,33.0
LH_PARSOPERCULARIS_GVOL,lh-parsopercularis,L,V,LH,PARSOPERCULARIS,GVOL,35.0
LH_PARSOPERCULARIS_SAREA,lh-parsopercularis,L,A,LH,PARSOPERCULARIS,SAREA,35.0
LH_PARSOPERCULARIS_AVGTH,lh-parsopercularis,L,T,LH,PARSOPERCULARIS,AVGTH,35.0
LH_PARSORBITALIS_GVOL,lh-parsorbitalis,L,V,LH,PARSORBITALIS,GVOL,36.0
LH_PARSORBITALIS_SAREA,lh-parsorbitalis,L,A,LH,PARSORBITALIS,SAREA,36.0
LH_PARSORBITALIS_AVGTH,lh-parsorbitalis,L,T,LH,PARSORBITALIS,AVGTH,36.0
LH_PARSTRIANGULARIS_GVOL,lh-parstriangularis,L,V,LH,PARSTRIANGULARIS,GVOL,37.0
LH_PARSTRIANGULARIS_SAREA,lh-parstriangularis,L,A,LH,PARSTRIANGULARIS,SAREA,37.0
LH_PARSTRIANGULARIS_AVGTH,lh-parstriangularis,L,T,LH,PARSTRIANGULARIS,AVGTH,37.0
LH_PERICALCARINE_GVOL,lh-pericalcarine,L,V,LH,PERICALCARINE,GVOL,38.0
LH_PERICALCARINE_SAREA,lh-pericalcarine,L,A,LH,PERICALCARINE,SAREA,38.0
LH_PERICALCARINE_AVGTH,lh-pericalcarine,L,T,LH,PERICALCARINE,AVGTH,38.0
LH_POSTCENTRAL_GVOL,lh-postcentral,L,V,LH,POSTCENTRAL,GVOL,39.0
LH_POSTCENTRAL_SAREA,lh-postcentral,L,A,LH,POSTCENTRAL,SAREA,39.0
LH_POSTCENTRAL_AVGTH,lh-postcentral,L,T,LH,POSTCENTRAL,AVGTH,39.0
LH_POSTERIORCINGULATE_GVOL,lh-posteriorcingulate,L,V,LH,POSTERIORCINGULATE,GVOL,40.0
LH_POSTERIORCINGULATE_SAREA,lh-posteriorcingulate,L,A,LH,POSTERIORCINGULATE,SAREA,40.0
LH_POSTERIORCINGULATE_AVGTH,lh-posteriorcingulate,L,T,LH,POSTERIORCINGULATE,AVGTH,40.0
LH_PRECENTRAL_GVOL,lh-precentral,L,V,LH,PRECENTRAL,GVOL,41.0
LH_PRECENTRAL_SAREA,lh-precentral,L,A,LH,PRECENTRAL,SAREA,41.0
LH_PRECENTRAL_AVGTH,lh-precentral,L,T,LH,PRECENTRAL,AVGTH,41.0
LH_PRECUNEUS_GVOL,lh-precuneus,L,V,LH,PRECUNEUS,GVOL,42.0
LH_PRECUNEUS_SAREA,lh-precuneus,L,A,LH,PRECUNEUS,SAREA,42.0
LH_PRECUNEUS_AVGTH,lh-precuneus,L,T,LH,PRECUNEUS,AVGTH,42.0
LH_ROSTRALANTERIORCINGULATE_GVOL,lh-rostralanteriorcingulate,L,V,LH,ROSTRALANTERIORCINGULATE,GVOL,43.0
LH_ROSTRALANTERIORCINGULATE_SAREA,lh-rostralanteriorcingulate,L,A,LH,ROSTRALANTERIORCINGULATE,SAREA,43.0
LH_ROSTRALANTERIORCINGULATE_AVGTH,lh-rostralanteriorcingulate,L,T,LH,ROSTRALANTERIORCINGULATE,AVGTH,43.0
LH_ROSTRALMIDDLEFRONTAL_GVOL,lh-rostralmiddlefrontal,L,V,LH,ROSTRALMIDDLEFRONTAL,GVOL,44.0
LH_ROSTRALMIDDLEFRONTAL_SAREA,lh-rostralmiddlefrontal,L,A,LH,ROSTRALMIDDLEFRONTAL,SAREA,44.0
LH_ROSTRALMIDDLEFRONTAL_AVGTH,lh-rostralmiddlefrontal,L,T,LH,ROSTRALMIDDLEFRONTAL,AVGTH,44.0
LH_SUPERIORFRONTAL_GVOL,lh-superiorfrontal,L,V,LH,SUPERIORFRONTAL,GVOL,45.0
LH_SUPERIORFRONTAL_SAREA,lh-superiorfrontal,L,A,LH,SUPERIORFRONTAL,SAREA,45.0
